Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Wild Ride,TDM,Tarkir: Dragonstorm,132,normal,common,1,105154,abc8c6f5-6135-428e-8476-1751f82623f9,0.35,false,false,near_mint,en,USD
Vandalblast,OTC,Outlaws of Thunder Junction Commander,183,normal,uncommon,1,93908,e781b55f-6388-4ab8-be74-7c56eaba1c4d,3.99,false,false,near_mint,en,USD
Chain Reaction,ONC,Phyrexia: All Will Be One Commander,97,normal,rare,1,78678,86ac292c-070e-439f-9c25-f4037cf1edd5,0.79,false,false,near_mint,en,USD
Rite of Renewal,TDM,Tarkir: Dragonstorm,153,normal,uncommon,1,104390,f737698a-d934-4851-b238-828959ef4835,0.35,false,false,near_mint,en,USD
Shamanic Revelation,BLC,Bloomburrow Commander,237,normal,rare,1,96431,b4e193e8-1127-475b-9af6-d0d0c44adf49,1.79,false,false,near_mint,en,USD
Cultivate,TDC,Tarkir: Dragonstorm Commander,253,normal,common,1,104712,6bb4dff5-4486-4ba5-9b85-9f005d988108,1.29,false,false,near_mint,en,USD
Harmonize,DSC,Duskmourn: House of Horror Commander,182,normal,uncommon,1,99236,839b9c4c-0752-4d4f-abbb-ec2c9f9e55fa,0.39,false,false,near_mint,en,USD
Primal Might,FDN,Foundations,643,normal,rare,1,100877,9ae57d6b-15e8-4f2a-97c2-76d801a1a42a,0.49,false,false,near_mint,en,USD
Hunter's Prowess,E02,Explorers of Ixalan,33,normal,rare,1,3342,2c0e5ac0-48f2-44c2-814e-9bc90ff01760,0.79,false,false,near_mint,en,USD
"Atarka, World Render",SCD,Starter Commander Decks,1,etched,mythic,1,74575,719f172b-f9ad-4960-af66-757eb54147f6,1.49,false,false,near_mint,en,USD
Furnace Whelp,IMA,Iconic Masters,129,normal,common,1,3496,1267597a-bbfe-4fb7-91b7-7fee371f0dfd,0.35,false,false,near_mint,en,USD
Verix Bladewing,TDC,Tarkir: Dragonstorm Commander,243,normal,mythic,1,104674,5d951996-3379-431d-bbb0-a7d099e72e4e,0.99,false,false,near_mint,en,USD
Foe-Razer Regent,DTK,Dragons of Tarkir,187,normal,rare,1,11627,04a266c3-de47-4e94-bdc4-210e34981de3,0.49,false,false,near_mint,en,USD
Thundermaw Hellkite,IMA,Iconic Masters,149,normal,mythic,1,3476,a75f6bb4-ab06-42ca-a0df-326d9a098a26,2.29,false,false,near_mint,en,USD
Rapacious Dragon,TDC,Tarkir: Dragonstorm Commander,229,normal,uncommon,1,104453,1098504a-977a-4733-a1ee-086461113a84,0.35,false,false,near_mint,en,USD
Draconic Disciple,M19,Core Set 2019,215,normal,uncommon,1,1097,a353510a-30de-4891-97b9-d7d556531c41,0.35,false,false,near_mint,en,USD
Bloomvine Regent // Claim Territory,TDM,Tarkir: Dragonstorm,136,normal,rare,1,104244,10e0a9a3-f63a-4f92-a083-9d181580e498,0.49,false,false,near_mint,en,USD
Savage Ventmaw,FDN,Foundations,665,normal,uncommon,1,100489,50027d69-8bb0-444c-8e9b-4c9afd91cbda,1.49,false,false,near_mint,en,USD
Steel Hellkite,FDN,Foundations,681,normal,rare,1,100838,931ad21b-a6bb-4a89-8d6f-80adfcf126c7,0.49,false,false,near_mint,en,USD
Boulderborn Dragon,TDM,Tarkir: Dragonstorm,239,normal,common,1,104292,50c6e815-bfe7-4599-9227-d36504a3640f,0.35,false,false,near_mint,en,USD
Sagu Wildling // Roost Seek,TDM,Tarkir: Dragonstorm,157,normal,common,1,104994,d8b43b00-f4d1-436c-bf3f-6d414cd4ce38,0.35,false,false,near_mint,en,USD
Tyrant's Familiar,CM2,Commander Anthology Volume II,125,normal,rare,1,1612,08076c82-edb6-4c3c-abda-3d3ad7bdd78f,1.49,false,false,near_mint,en,USD
Akoum Hellkite,BFZ,Battle for Zendikar,139,normal,rare,1,10212,ce837a65-a588-4b50-b298-f4ca37dbd06d,0.49,false,false,near_mint,en,USD
Scourge of Valkas,AFC,Forgotten Realms Commander,137,normal,mythic,1,60899,e6bd7225-b39f-4b3b-8c36-dbc2c09f6e50,9.99,false,false,near_mint,en,USD
Runehorn Hellkite,C16,Commander 2016,20,normal,rare,1,7334,f5fd8668-900c-48d1-aac3-8355cfc0bb74,0.79,false,false,near_mint,en,USD
Thunderbreak Regent,TDC,Tarkir: Dragonstorm Commander,241,normal,rare,1,104434,06624919-bb3e-458c-9301-0bb22d8b556c,0.49,false,false,near_mint,en,USD
Dragon Mage,SCG,Scourge,87,normal,rare,1,30601,7687a201-0ecc-4739-86e3-3b4090d345a8,2.29,false,false,near_mint,en,USD
Magmatic Hellkite,TDM,Tarkir: Dragonstorm,301,normal,rare,1,104907,b8a8906f-8593-4ae8-ba65-f2a1cc4c8fa6,0.59,false,false,near_mint,en,USD
Dragonmaster Outcast,TDC,Tarkir: Dragonstorm Commander,211,normal,mythic,1,104857,a485edea-07cd-48dd-97e7-daeba85553d6,0.99,false,false,near_mint,en,USD
